id_match,Anomalia
049,Común / Típico
052,Común / Típico
002,Común / Típico
001,Común / Típico
003,Común / Típico
004,Común / Típico
005,Común / Típico
006,Común / Típico
007,Común / Típico
010,Común / Típico
008,Común / Típico
009,Común / Típico
015,Común / Típico
014,Común / Típico
011,Común / Típico
013,Común / Típico
016,Común / Típico
012,Común / Típico
021,Común / Típico
023,Común / Típico
017,Común / Típico
019,Común / Típico
022,Común / Típico
018,Común / Típico
020,Común / Típico
025,Común / Típico
024,Común / Típico
026,Común / Típico
031,Común / Típico
027,Común / Típico
033,Común / Típico
030,Común / Típico
032,Común / Típico
028,Común / Típico
037,Común / Típico
036,Común / Típico
034,Común / Típico
035,Común / Típico
029,Común / Típico
038,Común / Típico
041,Común / Típico
043,Común / Típico
042,Común / Típico
039,Común / Típico
040,Común / Típico
044,Común / Típico
047,Común / Típico
046,Común / Típico
045,Común / Típico
048,Común / Típico
061,Común / Típico
050,Común / Típico
051,Común / Típico
053,Común / Típico
054,Común / Típico
055,Común / Típico
056,Común / Típico
059,Común / Típico
060,Común / Típico
057,Común / Típico
058,Común / Típico
062,Común / Típico
063,Común / Típico
064,Común / Típico
065,Común / Típico
066,Común / Típico
068,Común / Típico
067,Común / Típico
069,Común / Típico
070,Común / Típico
072,Atípico (Súper-Sano)
073,Común / Típico
071,Común / Típico
076,Común / Típico
074,Común / Típico
075,Común / Típico
077,Común / Típico
078,Común / Típico
079,Común / Típico
080,Común / Típico
081,Común / Típico
082,Común / Típico
083,Común / Típico
084,Común / Típico
085,Común / Típico
086,Común / Típico
087,Atípico (Súper-Sano)
088,Común / Típico
089,Común / Típico
090,Común / Típico
092,Común / Típico
091,Común / Típico
093,Común / Típico
094,Común / Típico
096,Atípico (Súper-Sano)
095,Común / Típico
097,Común / Típico
098,Común / Típico
099,Común / Típico
100,Común / Típico
101,Común / Típico
102,Común / Típico
103,Común / Típico
104,Común / Típico
105,Común / Típico
106,Común / Típico
107,Común / Típico
108,Atípico (Súper-Sano)
109,Común / Típico
110,Común / Típico
111,Común / Típico
